GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
eventservice,com.eventbooking.eventservice.exception,InsufficientSeatsException,0,4,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.exception,PastEventCreationException,0,4,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.exception,UnauthorizedAccessException,0,4,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.exception,GlobalExceptionHandler,0,35,0,0,0,7,0,3,0,3
eventservice,com.eventbooking.eventservice.exception,BookingCancellationDeadlineException,0,4,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.exception,EventNotFoundException,0,4,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.security,JwtUtil,0,72,1,3,0,16,1,10,0,9
eventservice,com.eventbooking.eventservice.security,JwtAuthenticationFilter,6,78,4,6,2,19,4,4,0,3
eventservice,com.eventbooking.eventservice.controller,BookingController,20,56,0,0,6,15,0,5,0,5
eventservice,com.eventbooking.eventservice.controller,EventController,18,65,0,0,4,16,2,6,2,6
eventservice,com.eventbooking.eventservice,EventserviceApplication,5,3,0,0,2,1,1,1,1,1
eventservice,com.eventbooking.eventservice.service,BookingService,25,150,1,7,3,35,5,7,4,4
eventservice,com.eventbooking.eventservice.service,EventService,372,70,74,2,75,18,47,3,10,2
eventservice,com.eventbooking.eventservice.entity,Event.EventStatus,0,15,0,0,0,3,0,1,0,1
eventservice,com.eventbooking.eventservice.entity,Booking.Status,0,15,0,0,0,2,0,1,0,1
eventservice,com.eventbooking.eventservice.entity,Booking,13,39,0,0,5,17,4,11,4,11
eventservice,com.eventbooking.eventservice.dto,EventRequest,0,66,0,0,0,28,0,19,0,19
eventservice,com.eventbooking.eventservice.dto,BookingRequest,0,24,0,0,0,10,0,7,0,7
eventservice,com.eventbooking.eventservice.config,SecurityConfig,225,0,0,0,26,0,7,0,7,0
